#k-distance eigenvalue[eV]
2.04993610 -16.52590000
2.06003026 -16.52590000
2.07012441 -16.52590000
2.08021856 -16.52590000
2.09031272 -16.52590000
2.10040688 -16.52590000
2.11050103 -16.52590000
2.12059518 -16.52590000
2.13068934 -16.52590000
2.14078349 -16.52590000
2.15087765 -16.52590000
2.16097180 -16.52590000
2.17106596 -16.52600000
2.18116011 -16.52600000
2.19125426 -16.52600000
2.20134842 -16.52600000
2.21144258 -16.52600000
2.22153673 -16.52600000
2.23163088 -16.52600000
2.24172504 -16.52600000
2.25181919 -16.52600000
2.26191334 -16.52600000
2.27200751 -16.52600000
2.28210166 -16.52600000
2.29219581 -16.52610000
2.30228996 -16.52610000
2.31238412 -16.52610000
2.32247827 -16.52610000
2.33257243 -16.52610000
2.34266659 -16.52610000
2.35276074 -16.52610000
2.36285489 -16.52610000
2.37294904 -16.52610000
2.38304320 -16.52610000
2.39313736 -16.52610000
2.40323151 -16.52610000
2.41332567 -16.52620000
2.42341982 -16.52620000
2.43351397 -16.52620000
2.44360812 -16.52620000
2.45370229 -16.52620000
2.46379644 -16.52620000
2.47389059 -16.52620000
2.48398475 -16.52620000
2.48398475 -16.52620000
2.49418028 -16.52620000
2.50437582 -16.52610000
2.51457136 -16.52610000
2.52476691 -16.52600000
2.53496245 -16.52590000
2.54515799 -16.52580000
2.55535352 -16.52560000
2.56554906 -16.52550000
2.57574460 -16.52530000
2.58594015 -16.52510000
2.59613569 -16.52490000
2.60633123 -16.52460000
2.61652676 -16.52440000
2.62672230 -16.52410000
2.63691784 -16.52380000
2.64711339 -16.52350000
2.65730893 -16.52320000
2.66750446 -16.52290000
2.67770000 -16.52260000
2.68789554 -16.52230000
2.69809108 -16.52200000
2.70828663 -16.52160000
2.71848217 -16.52130000
2.72867770 -16.52100000
2.73887324 -16.52070000
2.74906878 -16.52030000
2.75926432 -16.52000000
2.76945987 -16.51970000
2.77965541 -16.51940000
2.78985094 -16.51910000
2.80004648 -16.51880000
2.81024202 -16.51860000
2.82043756 -16.51830000
2.83063311 -16.51810000
2.84082864 -16.51780000
2.85102418 -16.51760000
2.86121972 -16.51740000
2.87141526 -16.51720000
2.88161080 -16.51710000
2.89180635 -16.51690000
2.90200188 -16.51680000
2.91219742 -16.51670000
2.92239296 -16.51650000
2.93258850 -16.51650000
2.94278404 -16.51640000
2.95297959 -16.51630000
2.96317512 -16.51630000
2.97337066 -16.51630000
2.98356620 -16.51630000
2.98356620 -16.51630000
2.99368038 -16.51630000
3.00379455 -16.51630000
3.01390873 -16.51640000
3.02402291 -16.51640000
3.03413709 -16.51650000
3.04425127 -16.51660000
3.05436544 -16.51680000
3.06447962 -16.51690000
3.07459379 -16.51710000
3.08470798 -16.51730000
3.09482215 -16.51750000
3.10493633 -16.51770000
3.11505051 -16.51790000
3.12516468 -16.51820000
3.13527886 -16.51850000
3.14539304 -16.51870000
3.15550722 -16.51900000
3.16562140 -16.51930000
3.17573557 -16.51970000
3.18584975 -16.52000000
3.19596392 -16.52030000
3.20607811 -16.52060000
3.21619228 -16.52100000
3.22630646 -16.52130000
3.23642064 -16.52170000
3.24653481 -16.52200000
3.25664899 -16.52240000
3.26676317 -16.52270000
3.27687735 -16.52300000
3.28699153 -16.52340000
3.29710570 -16.52370000
3.30721988 -16.52400000
3.31733405 -16.52430000
3.32744824 -16.52460000
3.33756241 -16.52490000
3.34767659 -16.52510000
3.35779077 -16.52540000
3.36790494 -16.52560000
3.37801912 -16.52580000
3.38813330 -16.52600000
3.39824748 -16.52620000
3.40836166 -16.52640000
3.41847583 -16.52650000
3.42859001 -16.52670000
3.43870418 -16.52680000
3.44881837 -16.52680000
3.45893254 -16.52690000
3.46904672 -16.52690000
3.47916090 -16.52690000
3.47916090 -16.52690000
3.48935643 -16.52690000
3.49955197 -16.52700000
3.50974751 -16.52700000
3.51994306 -16.52700000
3.53013860 -16.52710000
3.54033414 -16.52710000
3.55052967 -16.52720000
3.56072521 -16.52730000
3.57092075 -16.52740000
3.58111630 -16.52750000
3.59131184 -16.52760000
3.60150738 -16.52770000
3.61170291 -16.52780000
3.62189845 -16.52800000
3.63209399 -16.52810000
3.64228954 -16.52830000
3.65248508 -16.52850000
3.66268061 -16.52860000
3.67287615 -16.52880000
3.68307169 -16.52900000
3.69326723 -16.52920000
3.70346278 -16.52940000
3.71365832 -16.52960000
3.72385385 -16.52980000
3.73404939 -16.53010000
3.74424493 -16.53030000
3.75444047 -16.53050000
3.76463602 -16.53070000
3.77483156 -16.53100000
3.78502709 -16.53120000
3.79522263 -16.53140000
3.80541817 -16.53160000
3.81561371 -16.53190000
3.82580926 -16.53210000
3.83600480 -16.53230000
3.84620033 -16.53250000
3.85639587 -16.53260000
3.86659141 -16.53280000
3.87678695 -16.53300000
3.88698250 -16.53310000
3.89717803 -16.53330000
3.90737357 -16.53340000
3.91756911 -16.53350000
3.92776465 -16.53360000
3.93796019 -16.53370000
3.94815574 -16.53370000
3.95835127 -16.53380000
3.96854681 -16.53380000
3.97874235 -16.53380000

0.00000000 -16.51170000
0.01009415 -16.51170000
0.02018831 -16.51170000
0.03028246 -16.51160000
0.04037662 -16.51160000
0.05047077 -16.51150000
0.06056493 -16.51140000
0.07065908 -16.51120000
0.08075323 -16.51110000
0.09084739 -16.51090000
0.10094155 -16.51070000
0.11103570 -16.51050000
0.12112985 -16.51030000
0.13122401 -16.51010000
0.14131816 -16.50980000
0.15141231 -16.50960000
0.16150648 -16.50930000
0.17160063 -16.50900000
0.18169478 -16.50870000
0.19178893 -16.50840000
0.20188309 -16.50810000
0.21197724 -16.50780000
0.22207140 -16.50750000
0.23216556 -16.50720000
0.24225971 -16.50690000
0.25235386 -16.50650000
0.26244801 -16.50620000
0.27254217 -16.50590000
0.28263633 -16.50560000
0.29273048 -16.50530000
0.30282464 -16.50490000
0.31291879 -16.50460000
0.32301294 -16.50440000
0.33310709 -16.50410000
0.34320126 -16.50380000
0.35329541 -16.50350000
0.36338956 -16.50330000
0.37348372 -16.50310000
0.38357787 -16.50280000
0.39367202 -16.50260000
0.40376618 -16.50240000
0.41386034 -16.50230000
0.42395449 -16.50210000
0.43404864 -16.50200000
0.44414280 -16.50190000
0.45423695 -16.50180000
0.46433111 -16.50170000
0.47442526 -16.50170000
0.48451942 -16.50160000
0.49461357 -16.50160000
0.49461357 -16.50160000
0.50480911 -16.50160000
0.51500465 -16.50160000
0.52520019 -16.50160000
0.53539573 -16.50160000
0.54559127 -16.50150000
0.55578681 -16.50150000
0.56598235 -16.50140000
0.57617789 -16.50140000
0.58637342 -16.50130000
0.59656897 -16.50120000
0.60676451 -16.50120000
0.61696005 -16.50110000
0.62715559 -16.50100000
0.63735113 -16.50090000
0.64754666 -16.50080000
0.65774221 -16.50070000
0.66793775 -16.50060000
0.67813329 -16.50050000
0.68832883 -16.50030000
0.69852437 -16.50020000
0.70871990 -16.50010000
0.71891545 -16.49990000
0.72911099 -16.49980000
0.73930653 -16.49960000
0.74950207 -16.49950000
0.75969761 -16.49930000
0.76989314 -16.49920000
0.78008869 -16.49900000
0.79028423 -16.49890000
0.80047977 -16.49870000
0.81067531 -16.49860000
0.82087084 -16.49840000
0.83106638 -16.49830000
0.84126193 -16.49810000
0.85145747 -16.49800000
0.86165301 -16.49780000
0.87184855 -16.49770000
0.88204408 -16.49760000
0.89223962 -16.49750000
0.90243517 -16.49740000
0.91263071 -16.49730000
0.92282625 -16.49720000
0.93302179 -16.49710000
0.94321732 -16.49700000
0.95341286 -16.49700000
0.96360841 -16.49690000
0.97380395 -16.49690000
0.98399949 -16.49690000
0.99419503 -16.49690000
0.99419503 -16.49690000
1.00430920 -16.49690000
1.01442338 -16.49690000
1.02453755 -16.49690000
1.03465174 -16.49690000
1.04476591 -16.49680000
1.05488009 -16.49680000
1.06499427 -16.49680000
1.07510844 -16.49680000
1.08522262 -16.49680000
1.09533680 -16.49680000
1.10545098 -16.49670000
1.11556516 -16.49670000
1.12567933 -16.49670000
1.13579351 -16.49670000
1.14590768 -16.49660000
1.15602187 -16.49660000
1.16613604 -16.49660000
1.17625022 -16.49660000
1.18636440 -16.49650000
1.19647857 -16.49650000
1.20659275 -16.49640000
1.21670693 -16.49640000
1.22682111 -16.49640000
1.23693529 -16.49630000
1.24704946 -16.49630000
1.25716364 -16.49620000
1.26727781 -16.49620000
1.27739200 -16.49610000
1.28750617 -16.49610000
1.29762035 -16.49600000
1.30773453 -16.49600000
1.31784870 -16.49590000
1.32796288 -16.49590000
1.33807706 -16.49580000
1.34819124 -16.49580000
1.35830542 -16.49570000
1.36841959 -16.49570000
1.37853377 -16.49570000
1.38864794 -16.49560000
1.39876213 -16.49560000
1.40887630 -16.49550000
1.41899048 -16.49550000
1.42910466 -16.49550000
1.43921883 -16.49550000
1.44933301 -16.49540000
1.45944719 -16.49540000
1.46956137 -16.49540000
1.47967555 -16.49540000
1.48978972 -16.49540000
1.48978972 -16.49540000
1.49998526 -16.49540000
1.51018080 -16.49540000
1.52037634 -16.49540000
1.53057188 -16.49550000
1.54076742 -16.49550000
1.55096296 -16.49560000
1.56115850 -16.49560000
1.57135404 -16.49570000
1.58154958 -16.49570000
1.59174512 -16.49580000
1.60194066 -16.49590000
1.61213620 -16.49590000
1.62233174 -16.49600000
1.63252728 -16.49610000
1.64272281 -16.49620000
1.65291836 -16.49630000
1.66311390 -16.49640000
1.67330944 -16.49650000
1.68350498 -16.49660000
1.69370052 -16.49670000
1.70389605 -16.49680000
1.71409160 -16.49680000
1.72428714 -16.49690000
1.73448268 -16.49700000
1.74467822 -16.49710000
1.75487376 -16.49720000
1.76506929 -16.49730000
1.77526484 -16.49730000
1.78546038 -16.49740000
1.79565592 -16.49750000
1.80585146 -16.49760000
1.81604699 -16.49760000
1.82624253 -16.49770000
1.83643808 -16.49770000
1.84663362 -16.49780000
1.85682916 -16.49780000
1.86702470 -16.49790000
1.87722023 -16.49790000
1.88741577 -16.49800000
1.89761132 -16.49800000
1.90780686 -16.49800000
1.91800240 -16.49810000
1.92819794 -16.49810000
1.93839347 -16.49810000
1.94858901 -16.49810000
1.95878456 -16.49810000
1.96898010 -16.49810000
1.97917564 -16.49810000
1.98937118 -16.49810000
1.98937118 -16.49810000
1.99946533 -16.49820000
2.00955948 -16.49820000
2.01965363 -16.49820000
2.02974780 -16.49830000
2.03984195 -16.49840000
2.04993610 -16.49850000
2.06003026 -16.49860000
2.07012441 -16.49880000
2.08021856 -16.49900000
2.09031272 -16.49920000
2.10040688 -16.49940000
